home_Gls,Away_Gls,goals_difference,shots_difference,SoT_difference,tackles_difference,touches_difference,xG_difference,home_side_rank,away_side_rank,rolling_points_difference,rolling_points_home_difference,rolling_points_away_difference
0,1,0.2,0,-2,-5,48.2,-0.7,3,5,0,-0.20000000000000018,1
1,0,-1.4,0.8,-0.6,3.2,-127.2,-0.9,11,6,-0.19999999999999996,-1.0000000000000002,1.8000000000000003
2,0,0.8,-2.4,-0.4,-1.2,-186.4,0.4,6,5,-0.60000000000000009,1,-1.4
2,0,0.4,1.4,0.8,-2,-21.6,0.1,13,11,-0.6,-0.19999999999999996,-2
0,2,-2.2,-4.4,-3.2,-2.4,-205.2,-0.3,19,3,-0.60000000000000009,-0.79999999999999982,-2.1999999999999997
0,3,-1.2,-3,-2.2,2.8,-281.8,-1.1,20,2,-1.6,-2.1999999999999997,-1
4,3,1.6,-2,2.4,-5.8,219,1.1,1,14,1,1.6,1
2,1,2.2,3.8,4.8,-3.4,234.4,1.4,4,11,1.6,1,0.19999999999999996
3,0,0,1.8,-0.6,6,96.2,-0.3,16,18,-0.6,-1,0.39999999999999991
1,1,-0.4,-5.4,0.2,5,-117.6,0.1,16,8,0.19999999999999996,-0.39999999999999991,0
0,0,0.4,-0.6,-0.6,-1.2,15.2,-0.4,7,15,0.60000000000000009,-0.59999999999999987,0.59999999999999987
4,2,-0.2,-3.2,-1.6,2.2,43.2,-0.5,9,9,-1,-0.19999999999999996,0
2,1,1.4,3.4,2,0.8,224,1.2,6,18,0.39999999999999991,1.2,-0.4
4,0,0,1,1.2,2,-332.8,0.1,11,5,-1.4,-0.20000000000000018,-1.8
4,2,-0.2,1.4,0.8,-4.8,32.2,0.4,18,12,-0.39999999999999991,-0.60000000000000009,-1
0,1,-1.2,-3,-0.6,1.4,-48.6,-0.4,20,7,-1.2,-1.4,0
1,1,1.8,-1.6,1,-3.8,187.6,1.1,1,10,1.2,1.6,1
2,2,1.2,1.6,3.4,-2.8,164.2,0.1,4,16,1.4,1.6,0.59999999999999987
2,1,-1,-3.2,-2.2,7.4,-366.6,-1.1,14,2,-1.5999999999999999,-1.5999999999999999,-0.60000000000000009
1,1,0,-7,0,1.8,-104.2,-0.4,17,14,0.19999999999999996,-0.39999999999999991,-0.39999999999999991
2,1,0.8,2,3,-0.4,236.4,0,3,9,0.19999999999999996,1,0.59999999999999987
3,0,1,-1,0.4,6.8,6.2,0.1,8,12,0.19999999999999996,0.60000000000000009,-0.19999999999999996
0,0,-0.2,-0.8,0.8,2,-21.8,-0.1,11,9,-0.40000000000000013,0.59999999999999987,-0.60000000000000009
1,1,0.4,4,1,-5.6,19,1.1,15,17,0.60000000000000009,0.39999999999999991,-0.59999999999999987
2,0,-1.4,-3,-4,0.4,-92.8,-0.9,17,11,-0.39999999999999991,0,0.8
5,0,0.4,2.6,2.2,-1.6,248.8,0.1,5,20,1.2,2,1.4
2,0,-0.2,-2.2,-1.6,11.2,-56.6,-0.6,14,19,-0.59999999999999987,0.39999999999999991,0.79999999999999993
1,3,-1.2,1.6,-1,-1.2,41.8,-0.1,8,7,-0.40000000000000013,-0.40000000000000013,-0.59999999999999987
0,1,-1.2,-3.8,-2.4,6,-118.6,-0.9,10,4,-1.8,-1.8,-0.60000000000000009
3,1,0.2,1.6,1,-5.2,232.6,-0.2,2,6,0.59999999999999987,-0.60000000000000009,1.6
1,0,0.2,4.4,2.4,-6.6,317,0.4,3,15,0.40000000000000013,1,1.4
1,1,-2.2,-3.2,-3.2,-2.6,-237.8,-1.5,11,1,-1.4,-1.2,-0.59999999999999987
1,3,-0.2,0.8,-0.4,2.6,7.6,-0.6,12,15,-0.59999999999999987,-0.39999999999999991,0.19999999999999996
1,1,1.2,5.4,2.2,11,9.4,0.9,14,11,0.59999999999999987,-0.40000000000000013,0
0,3,-0.4,-4,-3,0.2,-42.8,-0.5,19,4,-1.8,-1.6,-2
1,2,-1.6,-2.4,-2,-0.2,-32.2,-1.3,20,6,-1.6,-3,0.2
3,0,0,-1.8,-0.8,-2.4,258.4,0.2,1,12,0.40000000000000013,1.2000000000000002,2.4
6,0,0.8,0.4,1,-3.6,-5.2,0.8,2,5,1,0.39999999999999991,0
1,2,0.4,-1,1,2.8,109.8,0,18,16,0.59999999999999987,-0.39999999999999991,0.59999999999999987
3,1,0.6,3.4,0.4,-2.6,239.2,0.3,3,10,1.5999999999999999,0.60000000000000009,1
1,0,0.2,-2.4,-1.2,-1.6,-116.2,-0.1,8,9,0.20000000000000018,-0.39999999999999991,0.40000000000000013
1,1,0.8,-0.4,1.2,0.2,61.8,0.4,7,17,0.60000000000000009,1,0.59999999999999987
2,0,0.2,-0.8,-0.8,-1,40.2,0.1,6,18,0.60000000000000009,2,-1.4000000000000001
1,1,-1,-2,-1,-1.6,5.4,-0.5,12,8,-0.8,0,-2
2,1,-0.2,-6.8,-1.8,-0.6,-272.4,-0.1,14,3,-1,-0.19999999999999996,-1.4
1,5,0.2,1.4,0.6,-1.4,-73.4,-0.2,17,7,-0.20000000000000018,0.39999999999999991,-1.2
3,0,0.6,0.4,1.2,3.8,228.8,0,5,14,1,1,1.2000000000000002
0,2,-2,-5.2,-3.6,7.2,-264,-1.4,9,2,-1,-1.2,0.19999999999999996
1,4,-0.4,0,1.2,-10.8,46,0.3,10,12,-0.8,-0.79999999999999993,0
0,0,-0.2,2.8,0.6,-5,-234,0.1,4,1,0.39999999999999991,0,0.39999999999999991
2,0,1.2,-1.4,0,-0.2,-136,0,16,20,1.2,1.4,0.60000000000000009
3,1,-0.4,-6,-1.6,3.2,-152.6,-0.8,10,19,0.19999999999999996,0,0.79999999999999993
5,1,0.4,1,0.4,-0.6,58.4,0.3,6,12,1,1.2,0.2
0,3,0.6,4.8,0.4,-2.2,-138.2,0.6,17,9,0.39999999999999991,-0.39999999999999991,-0.59999999999999987
1,0,-0.2,-1.2,0.2,5,57.2,0,5,3,-1.2,0.19999999999999996,-0.59999999999999987
1,3,0.6,-1,-1.6,8.4,-118.6,0,12,4,-0.60000000000000009,-1.6,-1.6
1,0,-2.2,-5.8,-2.8,-0.4,19.4,-1.1,20,8,-2.2,-1.8,-1.4000000000000001
2,1,0.2,4.4,1.6,-0.4,9.6,0.6,10,15,0,-0.4,0.79999999999999993
